,county_x,state_x,new_cases
0,Autauga,Alabama,531
1,Baldwin,Alabama,2512
2,Barbour,Alabama,245
3,Bibb,Alabama,231
4,Blount,Alabama,651
5,Bullock,Alabama,107
6,Butler,Alabama,131
7,Calhoun,Alabama,1414
8,Chambers,Alabama,226
9,Cherokee,Alabama,179
10,Chilton,Alabama,539
11,Choctaw,Alabama,81
12,Clarke,Alabama,543
13,Clay,Alabama,189
14,Cleburne,Alabama,92
15,Coffee,Alabama,386
16,Colbert,Alabama,737
17,Conecuh,Alabama,189
18,Coosa,Alabama,55
19,Covington,Alabama,452
20,Crenshaw,Alabama,228
21,Cullman,Alabama,741
22,Dale,Alabama,475
23,Dallas,Alabama,435
24,DeKalb,Alabama,945
25,Elmore,Alabama,796
26,Escambia,Alabama,741
27,Etowah,Alabama,1294
28,Fayette,Alabama,152
29,Franklin,Alabama,377
30,Geneva,Alabama,189
31,Greene,Alabama,62
32,Hale,Alabama,153
33,Henry,Alabama,126
34,Houston,Alabama,886
35,Jackson,Alabama,635
36,Jefferson,Alabama,7149
37,Lamar,Alabama,150
38,Lauderdale,Alabama,633
39,Lawrence,Alabama,236
40,Lee,Alabama,1294
41,Limestone,Alabama,759
42,Lowndes,Alabama,99
43,Macon,Alabama,131
44,Madison,Alabama,3435
45,Marengo,Alabama,222
46,Marion,Alabama,340
47,Marshall,Alabama,1345
48,Mobile,Alabama,5895
49,Monroe,Alabama,229
50,Montgomery,Alabama,2491
51,Morgan,Alabama,1177
52,Perry,Alabama,239
53,Pickens,Alabama,147
54,Pike,Alabama,286
55,Randolph,Alabama,155
56,Russell,Alabama,740
57,Shelby,Alabama,1886
58,St. Clair,Alabama,946
59,Sumter,Alabama,80
60,Talladega,Alabama,918
61,Tallapoosa,Alabama,314
62,Tuscaloosa,Alabama,1748
63,Walker,Alabama,507
64,Washington,Alabama,309
65,Wilcox,Alabama,145
66,Winston,Alabama,174
67,Aleutians East Borough,Alaska,2
68,Aleutians West Census Area,Alaska,82
69,Anchorage,Alaska,1620
70,Bethel Census Area,Alaska,10
71,Bristol Bay Borough,Alaska,15
72,Denali Borough,Alaska,3
73,Dillingham Census Area,Alaska,3
74,Fairbanks North Star Borough,Alaska,239
75,Haines Borough,Alaska,2
76,Juneau City and Borough,Alaska,132
77,Kenai Peninsula Borough,Alaska,284
78,Ketchikan Gateway Borough,Alaska,20
79,Kodiak Island Borough,Alaska,25
80,Kusilvak Census Area,Alaska,5
81,Lake and Peninsula Borough,Alaska,2
82,Matanuska-Susitna Borough,Alaska,230
83,Nome Census Area,Alaska,7
84,North Slope Borough,Alaska,18
85,Northwest Arctic Borough,Alaska,35
86,Petersburg Borough,Alaska,1
87,Prince of Wales-Hyder Census Area,Alaska,5
88,Sitka City and Borough,Alaska,19
89,Southeast Fairbanks Census Area,Alaska,6
90,Unknown,Alaska,39
91,Unknown,Alaska,-1001
92,Unknown,Alaska,-183
93,Unknown,Alaska,-59
94,Unknown,Alaska,-232
95,Unknown,Alaska,-1438
96,Unknown,Alaska,-1234
97,Unknown,Alaska,-1085
98,Unknown,Alaska,11
99,Unknown,Alaska,-65
100,Unknown,Alaska,41
101,Unknown,Alaska,47
102,Unknown,Alaska,-253
103,Unknown,Alaska,-101
104,Unknown,Alaska,-79
105,Unknown,Alaska,-207
106,Unknown,Alaska,-3039
107,Unknown,Alaska,45
108,Unknown,Alaska,-600
109,Unknown,Alaska,-223335
110,Unknown,Alaska,43
111,Unknown,Alaska,14
112,Unknown,Alaska,-364
113,Unknown,Alaska,-1762
114,Unknown,Alaska,47
115,Unknown,Alaska,47
116,Unknown,Alaska,42
117,Unknown,Alaska,-134
118,Unknown,Alaska,-65
119,Unknown,Alaska,-3242
120,Unknown,Arkansas,1803
121,Unknown,Arkansas,763
122,Unknown,Arkansas,1581
123,Unknown,Arkansas,1705
124,Unknown,Arkansas,1532
125,Unknown,Arkansas,326
126,Unknown,Arkansas,530
127,Unknown,Arkansas,679
128,Unknown,Arkansas,1775
129,Unknown,Arkansas,1699
130,Unknown,Arkansas,1805
131,Unknown,Arkansas,1811
132,Unknown,Arkansas,1511
133,Unknown,Arkansas,1663
134,Unknown,Arkansas,1685
135,Unknown,Arkansas,1557
136,Unknown,Arkansas,-1275
137,Unknown,Arkansas,1809
138,Unknown,Arkansas,1164
139,Unknown,Arkansas,-221571
140,Unknown,Arkansas,1807
141,Unknown,Arkansas,1778
142,Unknown,Arkansas,1400
143,Unknown,Arkansas,2
144,Unknown,Arkansas,1811
145,Unknown,Arkansas,1811
146,Unknown,Arkansas,1806
147,Unknown,Arkansas,1630
148,Unknown,Arkansas,1699
149,Unknown,Arkansas,-1478
150,Unknown,Connecticut,235
151,Unknown,Connecticut,-805
152,Unknown,Connecticut,13
153,Unknown,Connecticut,137
154,Unknown,Connecticut,-36
155,Unknown,Connecticut,-1242
156,Unknown,Connecticut,-1038
157,Unknown,Connecticut,-889
158,Unknown,Connecticut,207
159,Unknown,Connecticut,131
160,Unknown,Connecticut,237
161,Unknown,Connecticut,243
162,Unknown,Connecticut,-57
163,Unknown,Connecticut,95
164,Unknown,Connecticut,117
165,Unknown,Connecticut,-11
166,Unknown,Connecticut,-2843
167,Unknown,Connecticut,241
168,Unknown,Connecticut,-404
169,Unknown,Connecticut,-223139
170,Unknown,Connecticut,239
